character,dialogue,next_line
HAN,seventeen thousand! those guys must really be desperate. this could really save my neck. get back to the ship and get her ready. [EOL],you'll
BEN,you'll have to sell your speeder. [EOL],that's
LUKE,that's okay. i'm never coming back to this planet again. [EOL],going
GREEDO,"going somewhere, solo? [EOL]","yes,"
HAN,"yes, greedo. as a matter of fact, i was just going to see your boss. tell jabba that i've got his money. [EOL]",it's
GREEDO,"it's too late. you should have paid him when you had the chance. jabba's put a price on your head, so large that every bounty hunter in the galaxy will be looking for you. i'm lucky i found you first. [EOL]","yeah,"
HAN,"yeah, but this time i got the money. [EOL]",if
GREEDO,"if you give it to me, i might forget i found you. [EOL]",i
HAN,i don't have it with me. tell jabba... [EOL],jabba's
GREEDO,jabba's through with you. he has no time for smugglers who drop their shipments at the first sign of an imperial cruiser. [EOL],even
HAN,even i get boarded sometimes. do you think i had a choice? [EOL],you
GREEDO,you can tell that to jabba. he may only take your ship. [EOL],over
HAN,over my dead body. [EOL],that's
GREEDO,that's the idea i've been looking forward to killing you for a long time. [EOL],"yes,"
HAN,"yes, i'll bet you have. [EOL]",sorry
HAN,sorry about the mess. [EOL],her
VADER,her resistance to the mind probe is considerable. it will be some time before we can extract any information from her. [EOL],the
IMPERIAL OFFICER,the final check-out is complete. all systems are operational. what course shall we set? [EOL],perhaps
TARKIN,perhaps she would respond to an alternative form of persuasion. [EOL],what
VADER,what do you mean? [EOL],i
TARKIN,i think it is time we demonstrate the full power of this station.set your course for princess leia's home planet of alderaan. [EOL],with
TROOPER,with pleasure. [EOL],lock
THREEPIO,"lock the door, artoo. [EOL]",all
TROOPER,"all right, check that side of the street. it's secure. move on to the next door. [EOL]",i
THREEPIO,"i would much rather have gone with master luke than stay here with you. i don't know what all this trouble is about, but i'm sure it must be your fault. [EOL]",you
THREEPIO,you watch your language! [EOL],he
LUKE,"he says it's the best he can do. since the xp-38 came out, they [EOL]",it
BEN,it will be enough. [EOL],if
BEN,"if the ship's as fast as he's boasting, we ought to do well. [EOL]",come
JABBA,"come on out, solo! [EOL]",i've
HAN,"i've been waiting for you, jabba. [EOL]",i
JABBA,i expected you would be. [EOL],i'm
HAN,i'm not the type to run. [EOL],"han,"
JABBA,"han, my boy, there are times when you disappoint me... why haven't you paid me? and why did you have to fry poor greedo like that... after all we've been through together. [EOL]",you
HAN,you sent greedo to blast me. [EOL],"han,"
JABBA,"han, why you're the best smuggler in the business. you're too valuable to fry. he was only relaying my concern at your delays. he wasn't going to blast you. [EOL]",i
HAN,"i think he thought he was. next time don't send one of those twerps. if you've got something to say to me, come see me yourself. [EOL]","han,"
JABBA,"han, han! if only you hadn't had to dump that shipment of spice... you understand i just can't make an exception. where would i be if every pilot who smuggled for me dumped their shipment at the first sign of an imperial starship? it's not good business. [EOL]",you
HAN,"you know, even i get boarded sometimes, jabba. i had no choice, but i've gota charter now and i can pay you back, plus a little extra. i just need some more time. [EOL]",put
JABBA,"put your blasters away. han, my boy, i'm only doing this because you're the best and i need you. so, for an extra, say... twenty percent i'll give you a little more time... but this is it. if you disappoint me again, i'll put a price on your head so large you won't be able to go near a civilized system for the rest of your short life. [EOL]","jabba,"
HAN,"jabba, i'll pay you because it's my pleasure. [EOL]",what
LUKE,what a piece of junk. [EOL],she'll
HAN,"she'll make point five beyond the speed of light. she may not look like much, but she's got it where it counts, kid. i've added some special modifications myself. [EOL]",we're
HAN,"we're a little rushed, so if you'll hurry aboard we'll get out of here. [EOL]","hello,"
THREEPIO,"hello, sir. [EOL]",which
TROOPER,which way? [EOL],all
TROOPER,"all right, men. load your weapons! [EOL]",stop
TROOPER,stop that ship! [EOL],blast
TROOPER,blast 'em! [EOL],"chewie,"
HAN,"chewie, get us out of here! [EOL]","oh,"
THREEPIO,"oh, my. i'd forgotten how much i hate space travel. [EOL]",it
HAN,it looks like an imperial cruiser. our passengers must be hotter than i thought. try and hold them off. angle the deflector shield while i make the calculations for the jump to light speed. [EOL],stay
HAN,stay sharp! there are two more coming in; they're going to try to cut us off. [EOL],why
LUKE,why don't you outrun them? i thought you said this thing was fast. [EOL],watch
HAN,"watch your mouth, kid, or you're going to find yourself floating home. we'll be safe enough once we make the jump to hyperspace. besides, i know a few maneuvers. we'll lose them! [EOL]",here's
HAN,here's where the fun begins! [EOL],how
BEN,how long before you can make the jump to light speed? [EOL],it'll
HAN,it'll take a few moments to get the coordinates from the navi-computer. [EOL],are
LUKE,are you kidding? at the rate they're gaining... [EOL],traveling
HAN,"traveling through hyperspace isn't like dusting crops, boy! without precise calculations we could fly right through a star or bounce too close to a supernova and that'd end your trip real quick, wouldn't it? [EOL]",what's
LUKE,what's that flashing? [EOL],we're
HAN,"we're losing our deflector shield. go strap yourself in, i'm going to make the jump to light speed. [EOL]",we've
MOTTI,we've entered the alderaan system. [EOL],governor
LEIA,"governor tarkin, i should have expected to find you holding vader's leash. i recognized your foul stench when i was brought on board. [EOL]",charming
TARKIN,charming to the last. you don't know how hard i found it signing the order to terminate your life! [EOL],to
LEIA,to take the responsibility yourself! [EOL],princess
TARKIN,"princess leia, before your execution i would like you to be my guest at a ceremony that will make this battle station operational. no star system will dare oppose the emperor now. [EOL]",the
LEIA,"the more you tighten your grip, tarkin, the more star systems will slip through your fingers. [EOL]",not
TARKIN,"not after we demonstrate the power of this station. in a way, you have determined the choice of the planet that'll be destroyed first. since you are reluctant to provide us with the location of the rebel base, i have chosen to test this station's destructive power... on your home planet of alderaan. [EOL]",no!
LEIA,no! alderaan is peaceful. we have no weapons. you can't possibly... [EOL],you
TARKIN,you would prefer another target? a military target? then name the system! [EOL],i
TARKIN,i grow tired of asking this. so it'll be the last time. where is the rebel base? [EOL],dantooine.
LEIA,dantooine. [EOL],they're
LEIA,they're on dantooine. [EOL],there.
TARKIN,"there. you see lord vader, she can be reasonable. continue with the operation. you may fire when ready. [EOL]",you're
TARKIN,you're far too trusting. dantooine is too remote to make an effective demonstration. but don't worry. we will deal with your rebel friends soon enough. [EOL],no!
LEIA,no! [EOL],commence
VADER,commence primary ignition. [EOL],are
LUKE,are you all right? what's wrong? [EOL],i
BEN,i felt a great disturbance in the force... as if millions of voices suddenly cried out in terror and were suddenly silenced. i fear something terrible has happened. [EOL],you'd
BEN,you'd better get on with your exercises. [EOL],"well,"
HAN,"well, you can forget your troubles with those imperial slugs. i told you i'd outrun 'em. [EOL]",don't
HAN,don't everyone thank me at once. [EOL],"anyway,"
HAN,"anyway, we should be at alderaan about oh-two-hundred hours. [EOL]",now
THREEPIO,"now be careful, artoo. [EOL]",he
THREEPIO,he made a fair move. screaming about it won't help you. [EOL],let
HAN,let him have it. it's not wise to upset a wookiee. [EOL],but
THREEPIO,"but sir, nobody worries about upsetting a droid. [EOL]",that's
HAN,that's 'cause droids don't pull people's arms out of their socket when they lose. wookiees are known to do that. [EOL],i
THREEPIO,"i see your point, sir. i suggest a new strategy, artoo. let the wookiee win. [EOL]","remember,"
BEN,"remember, a jedi can feel the force flowing through him. [EOL]",you
LUKE,you mean it controls your actions? [EOL],partially.
BEN,partially. but it also obeys your commands. [EOL],hokey
HAN,"hokey religions and ancient weapons are no match for a good blaster at your side, kid. [EOL]",you
LUKE,"you don't believe in the force, do you? [EOL]","kid,"
HAN,"kid, i've flown from one side of this galaxy to the other. i've seen a lot of strange stuff, but i've never seen anything to make me believe there's one all-powerful force controlling everything. there's no mystical energy field that controls my destiny. [EOL]",it's
HAN,it's all a lot of simple tricks and nonsense. [EOL],i
BEN,"i suggest you try it again, luke. [EOL]",this
BEN,"this time, let go your conscious self and act on instinct. [EOL]",with
LUKE,"with the blast shield down, i can't even see. how am i supposed to fight? [EOL]",your
BEN,your eyes can deceive you. don't trust them. [EOL],stretch
BEN,stretch out with your feelings. [EOL],you
BEN,"you see, you can do it. [EOL]",i
HAN,i call it luck. [EOL],in
BEN,"in my experience, there's no such thing as luck. [EOL]","look,"
HAN,"look, going good against remotes is one thing. going good against the living? that's something else. [EOL]",looks
HAN,looks like we're coming up on alderaan. [EOL],you
LUKE,"you know, i did feel something. i could almost see the remote. [EOL]",that's
BEN,that's good. you have taken your first step into a larger world. [EOL],yes.
TARKIN,yes. [EOL],our
OFFICER CASS,"our scout ships have reached dantooine. they found the remains of a rebel base, but they estimate that it has been deserted for some time. they are now conducting an extensive search of the surrounding systems. [EOL]",she
TARKIN,she lied! she lied to us! [EOL],i
VADER,i told you she would never consciously betray the rebellion. [EOL],terminate
TARKIN,terminate her... immediately! [EOL],stand
HAN,"stand by, chewie, here we go. cut in the sublight engines. [EOL]",what
HAN,"what the...? aw, we've come out of hyperspace into a meteor shower. some kind of asteroid collision. it's not on any of the charts. [EOL]",what's
LUKE,what's going on? [EOL],our
HAN,"our position is correct, except... no, alderaan! [EOL]",what
LUKE,what do you mean? where is it? [EOL],thats
HAN,"thats what i'm trying to tell you, kid. it ain't there. it's been totally blown away. [EOL]",what?
LUKE,what? how? [EOL],destroyed...
BEN,destroyed... by the empire! [EOL],the
HAN,the entire starfleet couldn't destroy the whole planet. it'd take a thousand ships with more fire power than i've... [EOL],there's
